model,filename,rows,positives,label_pos_rate,threshold,precision,recall,brier_score,ece,calibration_rows,posthoc_selected_method,posthoc_brier_score,posthoc_ece,posthoc_threshold,posthoc_calibration_rows,pred_pos_rate,feature_count,feature_schema_sha256,exported_to
longExitLifecycleAi,long_exit_lifecycle.onnx,50000,15712,0.31424,0.5,0.9958333333333333,0.6800505848877648,0.07715966166613801,0.016589253811718,10000,,,,,,0.216,34,8daf01ed08d106a04a6aefbf4e17b4b64773dcb3d52ad29451e26c3801f78936,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/long_exit_lifecycle.onnx
shortExitLifecycleAi,short_exit_lifecycle.onnx,50000,15471,0.30942,0.5800000000000001,0.999529854254819,0.6350059737156512,0.08519949861544424,0.023082470576617407,10000,,,,,,0.2127,34,8daf01ed08d106a04a6aefbf4e17b4b64773dcb3d52ad29451e26c3801f78936,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/short_exit_lifecycle.onnx
longMicroEntryAi,long_micro_entry_5s.onnx,17242,2683,0.1556083980976685,0.6200000000000001,0.8187134502923976,0.2697495183044316,0.10159664339049282,0.02526426926320498,3449,,,,,,0.04957958828645984,44,9eff9f60ed2e668012b2e5ca89acec5b1a57bb717706ed775b57ab7de2356401,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/long_micro_entry_5s.onnx
shortMicroEntryAi,short_micro_entry_5s.onnx,17361,2633,0.15166177063533207,0.52,0.8775510204081632,0.24571428571428572,0.09409857729829892,0.02514481289204025,3473,,,,,,0.04232651885977541,44,9eff9f60ed2e668012b2e5ca89acec5b1a57bb717706ed775b57ab7de2356401,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/short_micro_entry_5s.onnx
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,15504,3940,0.25412796697626416,0.6,1.0,0.45263157894736844,0.1073776650152035,0.033187704219047605,3101,,,,,,0.1109319574330861,50,1e93d53a36b0e3a6e73c3342a3f9ec029f063da978fad155386c2d569a459e15,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/long_micro_exit_guard_5s.onnx
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,15120,3933,0.26011904761904764,0.6,1.0,0.5145518044237486,0.10957762672527106,0.027742502305684768,3024,,,,,,0.14616402116402116,50,1e93d53a36b0e3a6e73c3342a3f9ec029f063da978fad155386c2d569a459e15,runtime/research_runs/lifecycle_micro_bar_regen_20260622/model_exports/short_micro_exit_guard_5s.onnx
