model,filename,signals,rows,signal_rate,avg_precision,avg_threshold,threshold_std,threshold_max_dev,brier_score,ece,calibration_rows,folds_used,exported_to
LONG ENTRY (Dip Buyer),long_entry.onnx,235094,766485,0.306717026425827,0.3769427450825507,0.612,0.016000000000000014,0.028000000000000025,0.24709530642951594,0.18454007066956377,630000,5,/Users/FXG06FA/trading-agent-main/runtime/research_runs/catboost_cost_aware_setup_onnx_local_20260624_152854/long_entry.onnx
SHORT ENTRY (Rip Seller),short_entry.onnx,231363,766485,0.30184935125932016,0.3628016624651196,0.612,0.016000000000000014,0.028000000000000025,0.24764660178785686,0.1894397578886151,630000,5,/Users/FXG06FA/trading-agent-main/runtime/research_runs/catboost_cost_aware_setup_onnx_local_20260624_152854/short_entry.onnx
