side,status,model_family,feature_preset,excluded_feature_groups,rows,positives,positive_rate,feature_count,train_rows,train_positives,holdout_rows,holdout_positives,holdout_positive_rate,holdout_auc,holdout_average_precision,holdout_brier_score,selected_threshold,selected_threshold_reason,selected_precision,selected_recall,selected_predicted_positive,selected_pred_pos_rate,selected_expected_net_r_mean,selected_expected_net_r_p50,selected_expected_net_r_positive_count,holdout_expected_net_r_mean,model_path
long,trained,CatBoostClassifier,catboost_cost_aware_core,databento_silver;enriched_meta,2858,263,0.09202239328201539,59,2000,188,858,75,0.08741258741258741,0.8271604938271605,0.2816229438671345,0.08732186704901419,0.75,eligible_min_precision,0.42105263157894735,0.10666666666666667,19,0.022144522144522144,0.4559559752456089,1.2327647865069657,8,-0.01228309273031965,runtime/local-backtests/databento-core5-4week-20260427-20260522-recent/setup_micro_counterfactual_20260627_230823/downstream_setup_filter_catboost_core_20260628/long_downstream_setup_filter.pkl
short,trained,CatBoostClassifier,catboost_cost_aware_core,databento_silver;enriched_meta,1612,108,0.06699751861042183,59,1128,74,484,34,0.07024793388429752,0.8722875816993463,0.3077932967892825,0.06548177865717805,0.75,eligible_min_precision,0.42857142857142855,0.08823529411764706,7,0.014462809917355372,0.6587276100061663,1.246842940250409,3,0.21010602509468554,runtime/local-backtests/databento-core5-4week-20260427-20260522-recent/setup_micro_counterfactual_20260627_230823/downstream_setup_filter_catboost_core_20260628/short_downstream_setup_filter.pkl
