Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose
20250923 10:39:20 America/New_York,222.6200,222.6300,222.5500,222.5500,143.0000000000000000,222.5880000000000000,57,227.9000
20250923 10:39:25 America/New_York,222.5600,222.5700,222.5300,222.5300,16.0000000000000000,222.5490000000000000,9,227.9000
20250923 10:39:30 America/New_York,222.5200,222.5600,222.5000,222.5500,106.0000000000000000,222.5220000000000000,67,227.9000
20250923 10:39:35 America/New_York,222.5300,222.5600,222.5300,222.5400,28.0000000000000000,222.5460000000000000,15,227.9000
20250923 10:39:40 America/New_York,222.5200,222.5800,222.5100,222.5800,47.0000000000000000,222.5370000000000000,19,227.9000
20250923 10:39:45 America/New_York,222.5800,222.6300,222.5700,222.6200,25.0000000000000000,222.5980000000000000,16,227.9000
20250923 10:39:50 America/New_York,222.6200,222.6200,222.5700,222.5800,32.0000000000000000,222.5940000000000000,20,227.9000
20250923 10:39:55 America/New_York,222.5900,222.6200,222.5700,222.6100,53.0000000000000000,222.5920000000000000,32,227.9000
20250923 10:40:00 America/New_York,222.6200,222.6300,222.5900,222.6300,45.0000000000000000,222.6090000000000000,32,227.9000
20250923 10:40:05 America/New_York,222.6400,222.6400,222.5800,222.6000,99.0000000000000000,222.6130000000000000,46,227.9000
20250923 10:40:10 America/New_York,222.5900,222.6000,222.5100,222.5400,223.0000000000000000,222.5610000000000000,84,227.9000
20250923 10:40:15 America/New_York,222.5400,222.5700,222.5000,222.5000,187.0000000000000000,222.5260000000000000,82,227.9000
20250923 10:40:20 America/New_York,222.5100,222.5200,222.3600,222.4100,270.0000000000000000,222.4260000000000000,123,227.9000
20250923 10:40:25 America/New_York,222.4100,222.4600,222.3800,222.4300,102.0000000000000000,222.4160000000000000,58,227.9000
20250923 10:40:30 America/New_York,222.4500,222.4800,222.4300,222.4700,78.0000000000000000,222.4500000000000000,37,227.9000
20250923 10:40:35 America/New_York,222.4800,222.5000,222.4200,222.4300,95.0000000000000000,222.4540000000000000,43,227.9000
20250923 10:40:40 America/New_York,222.4500,222.4800,222.4200,222.4700,61.0000000000000000,222.4530000000000000,41,227.9000
20250923 10:40:45 America/New_York,222.4600,222.5200,222.4400,222.4500,79.0000000000000000,222.4740000000000000,50,227.9000
20250923 10:40:50 America/New_York,222.4500,222.4900,222.4100,222.4900,125.0000000000000000,222.4470000000000000,70,227.9000
20250923 10:40:55 America/New_York,222.4900,222.5500,222.4500,222.5500,72.0000000000000000,222.5080000000000000,36,227.9000
20250923 10:41:00 America/New_York,222.5300,222.5600,222.4700,222.5400,36.0000000000000000,222.5090000000000000,22,227.9000
20250923 10:41:05 America/New_York,222.5600,222.5700,222.5200,222.5600,320.0000000000000000,222.5470000000000000,203,227.9000
20250923 10:41:10 America/New_York,222.5500,222.5700,222.5300,222.5300,55.0000000000000000,222.5530000000000000,43,227.9000
20250923 10:41:15 America/New_York,222.5100,222.5400,222.5100,222.5200,23.0000000000000000,222.5270000000000000,11,227.9000
20250923 10:41:20 America/New_York,222.5200,222.5600,222.4900,222.4900,71.0000000000000000,222.5320000000000000,46,227.9000
20250923 10:41:25 America/New_York,222.5200,222.5500,222.4900,222.5300,48.0000000000000000,222.5270000000000000,36,227.9000
20250923 10:41:30 America/New_York,222.5400,222.5500,222.5100,222.5300,46.0000000000000000,222.5390000000000000,27,227.9000
20250923 10:41:35 America/New_York,222.5300,222.5500,222.5200,222.5200,152.0000000000000000,222.5310000000000000,38,227.9000
20250923 10:41:40 America/New_York,222.5200,222.5200,222.4900,222.5100,44.0000000000000000,222.5050000000000000,27,227.9000
20250923 10:41:45 America/New_York,222.5100,222.6500,222.5100,222.6500,243.0000000000000000,222.5810000000000000,150,227.9000
20250923 10:41:50 America/New_York,222.6500,222.7100,222.6200,222.6500,105.0000000000000000,222.6750000000000000,66,227.9000
20250923 10:41:55 America/New_York,222.6500,222.6900,222.6400,222.6700,24.0000000000000000,222.6670000000000000,18,227.9000
20250923 10:42:00 America/New_York,222.6600,222.6800,222.6500,222.6800,60.0000000000000000,222.6590000000000000,47,227.9000
20250923 10:42:05 America/New_York,222.6800,222.7100,222.6700,222.7000,104.0000000000000000,222.6980000000000000,51,227.9000
20250923 10:42:10 America/New_York,222.7000,222.7600,222.6900,222.7300,96.0000000000000000,222.7320000000000000,58,227.9000
20250923 10:42:15 America/New_York,222.7200,222.7900,222.7200,222.7800,181.0000000000000000,222.7630000000000000,134,227.9000
20250923 10:42:20 America/New_York,222.7700,222.8000,222.7600,222.7900,82.0000000000000000,222.7860000000000000,48,227.9000
20250923 10:42:25 America/New_York,222.8000,222.8300,222.7600,222.8000,58.0000000000000000,222.7980000000000000,35,227.9000
20250923 10:42:30 America/New_York,222.7900,222.8300,222.7700,222.7800,117.0000000000000000,222.8020000000000000,74,227.9000
20250923 10:42:35 America/New_York,222.7800,222.8100,222.7700,222.7700,48.0000000000000000,222.7930000000000000,30,227.9000
20250923 10:42:40 America/New_York,222.7800,222.7800,222.7400,222.7500,266.0000000000000000,222.7520000000000000,107,227.9000
20250923 10:42:45 America/New_York,222.7500,222.7600,222.7500,222.7500,22.0000000000000000,222.7530000000000000,14,227.9000
20250923 10:42:50 America/New_York,222.7500,222.7600,222.7000,222.7100,33.0000000000000000,222.7240000000000000,23,227.9000
20250923 10:42:55 America/New_York,222.7100,222.7400,222.6800,222.7300,52.0000000000000000,222.6920000000000000,20,227.9000
20250923 10:43:00 America/New_York,222.7400,222.8400,222.7300,222.8300,112.0000000000000000,222.7740000000000000,95,227.9000
20250923 10:43:05 America/New_York,222.8300,222.8300,222.8000,222.8100,43.0000000000000000,222.8100000000000000,32,227.9000
20250923 10:43:10 America/New_York,222.7900,222.7900,222.7700,222.7800,11.0000000000000000,222.7820000000000000,9,227.9000
20250923 10:43:15 America/New_York,222.7700,222.7700,222.7400,222.7400,121.0000000000000000,222.7590000000000000,87,227.9000
20250923 10:43:20 America/New_York,222.7700,222.8100,222.7600,222.8000,45.0000000000000000,222.7900000000000000,27,227.9000
20250923 10:43:25 America/New_York,222.8000,222.8200,222.7800,222.7800,61.0000000000000000,222.8040000000000000,28,227.9000
20250923 10:43:30 America/New_York,222.7800,222.8300,222.7800,222.8000,17.0000000000000000,222.8090000000000000,10,227.9000
20250923 10:43:35 America/New_York,222.8200,222.8200,222.7900,222.8100,54.0000000000000000,222.8080000000000000,19,227.9000
20250923 10:43:40 America/New_York,222.8000,222.8000,222.7300,222.7500,38.0000000000000000,222.7580000000000000,32,227.9000
20250923 10:43:45 America/New_York,222.7500,222.7500,222.7200,222.7300,21.0000000000000000,222.7350000000000000,17,227.9000
20250923 10:43:50 America/New_York,222.7200,222.7400,222.6700,222.6700,39.0000000000000000,222.7050000000000000,20,227.9000
