Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares
20260306 15:22:00 America/New_York,398.0600,398.1000,397.9600,397.9900,391.000000000000000000,397.997938828938174538,142,405.5500,397.9700,398.0000,9,1,1260075,1720538,53083814
20260306 15:22:05 America/New_York,397.9900,398.0000,397.8500,397.9400,718.000000000000000000,397.946917805836676507,274,405.5500,397.9500,398.0000,12,7,1260322,1720809,53083736
20260306 15:22:10 America/New_York,397.9600,398.0400,397.9400,397.9400,182.000000000000000000,397.998720131831873914,70,405.5500,397.9300,397.9700,3,9,1260581,1721072,53084370
20260306 15:22:15 America/New_York,397.9400,397.9600,397.8400,397.8900,118.000000000000000000,397.896087600507883053,44,405.5500,397.8700,397.9200,5,10,1260838,1721313,53087395
20260306 15:22:20 America/New_York,397.8900,397.9000,397.8100,397.8100,138.000000000000000000,397.832389699261682381,53,405.5500,397.8000,397.8300,21,2,1261140,1721474,53087605
20260306 15:22:25 America/New_York,397.8100,397.8500,397.6600,397.8000,438.000000000000000000,397.735677492877528039,130,405.5500,397.7800,397.7900,1,1,1261986,1721740,53087814
20260306 15:22:30 America/New_York,397.7900,397.8500,397.7500,397.7800,178.000000000000000000,397.806312543798185288,85,405.5500,397.7600,397.8100,3,7,1262436,1722001,53087764
20260306 15:22:35 America/New_York,397.8100,397.9400,397.8000,397.9100,352.000000000000000000,397.880241758241822936,107,405.5500,397.8700,397.9100,1,4,1262616,1722330,53087758
20260306 15:22:40 America/New_York,397.9000,397.9100,397.7900,397.8700,83.000000000000000000,397.845116976604685988,27,405.5500,397.8400,397.8700,9,3,1262701,1722457,53087618
20260306 15:22:45 America/New_York,397.8600,397.8700,397.7200,397.7600,68.000000000000000000,397.806993058092814408,38,405.5500,397.7400,397.7800,8,2,1262971,1722535,53087218
20260306 15:22:50 America/New_York,397.7800,397.8000,397.6000,397.6200,306.000000000000000000,397.663132352941204317,78,405.5500,397.6200,397.6500,5,1,1263343,1722999,53087259
20260306 15:22:55 America/New_York,397.6200,397.6500,397.5800,397.6400,208.000000000000000000,397.619400263883903790,63,405.5500,397.6700,397.7000,11,2,1263659,1723142,53087379
20260306 15:23:00 America/New_York,397.6600,397.7200,397.5900,397.6000,457.000000000000000000,397.674408261392215991,134,405.5500,397.5800,397.6100,12,1,1264058,1723313,53080406
20260306 15:23:05 America/New_York,397.6100,397.6700,397.5600,397.6300,268.000000000000000000,397.611494327692014394,71,405.5500,397.6200,397.6700,4,1,1264159,1723399,53080356
20260306 15:23:10 America/New_York,397.6100,397.7600,397.6100,397.7200,199.000000000000000000,397.672049611626221122,54,405.5500,397.7000,397.7400,8,1,1264380,1723609,53083880
20260306 15:23:15 America/New_York,397.7300,397.7800,397.6900,397.6900,211.000000000000000000,397.735952943958409378,55,405.5500,397.6600,397.7000,2,21,1264509,1723897,53089080
20260306 15:23:20 America/New_York,397.6800,397.7600,397.6400,397.6700,239.000000000000000000,397.680320325542595583,82,405.5500,397.6300,397.6700,9,7,1264810,1724319,53088020
20260306 15:23:25 America/New_York,397.6500,397.6600,397.5300,397.5800,128.000000000000000000,397.594832071442510824,47,405.5500,397.5800,397.6100,2,1,1264985,1724518,53087482
20260306 15:23:30 America/New_York,397.5800,397.6600,397.5600,397.6400,242.000000000000000000,397.619674989682209798,75,405.5500,397.5900,397.6400,17,4,1265171,1724774,53085517
20260306 15:23:35 America/New_York,397.6300,397.8600,397.5700,397.8100,238.000000000000000000,397.667623938790484317,88,405.5500,397.8900,397.9400,13,10,1265600,1725338,53085517
20260306 15:23:40 America/New_York,397.8700,398.0300,397.8600,397.8800,300.000000000000000000,397.949983366600122281,105,405.5500,397.8200,397.8600,5,1,1265814,1725547,53085517
20260306 15:23:45 America/New_York,397.8700,397.8900,397.7300,397.7400,112.000000000000000000,397.820495225405295514,53,405.5500,397.7200,397.7600,7,3,1265868,1725773,53085515
20260306 15:23:50 America/New_York,397.7600,397.8000,397.6000,397.6400,116.000000000000000000,397.691787709497191372,40,405.5500,397.6200,397.6600,9,3,1266054,1725985,53085167
20260306 15:23:55 America/New_York,397.6400,397.7000,397.6200,397.6700,80.000000000000000000,397.662184194150597705,27,405.5500,397.6800,397.7300,7,6,1266074,1726036,53085247
20260306 15:24:00 America/New_York,397.7000,397.7100,397.5900,397.6400,114.000000000000000000,397.654178454842224255,44,405.5500,397.6300,397.6700,1,4,1266383,1726116,53083063
20260306 15:24:05 America/New_York,397.5900,397.6800,397.5900,397.6300,151.000000000000000000,397.631150734687196291,36,405.5500,397.6200,397.6600,6,1,1266437,1726213,53083113
20260306 15:24:10 America/New_York,397.6300,397.6500,397.5500,397.6200,121.000000000000000000,397.591387579422018916,41,405.5500,397.5300,397.5700,42,1,1266882,1726444,53083322
20260306 15:24:15 America/New_York,397.6000,397.6400,397.5400,397.5900,122.000000000000000000,397.603657738703702762,39,405.5500,397.6000,397.6300,3,3,1267012,1726482,53083323
20260306 15:24:20 America/New_York,397.6200,397.6200,397.5400,397.6200,74.000000000000000000,397.583480458221004028,22,405.5500,397.5700,397.6100,9,2,1267193,1726581,53083563
20260306 15:24:25 America/New_York,397.5900,397.6400,397.5800,397.6100,138.000000000000000000,397.610000000000013642,60,405.5500,397.6100,397.6400,1,4,1267467,1726711,53083533
20260306 15:24:30 America/New_York,397.6200,397.7800,397.5700,397.7500,317.000000000000000000,397.661788220452592668,125,405.5500,397.7700,397.8100,2,1,1267769,1727004,53083581
20260306 15:24:35 America/New_York,397.7800,397.8200,397.6700,397.7100,239.000000000000000000,397.758366792137223911,92,405.5500,397.6800,397.7300,12,5,1268190,1727135,53083066
