Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose
20250923 09:30:00 America/New_York,227.9000,227.9000,227.1300,227.2700,6109.0000000000000000,227.6460000000000000,379,227.9000
20250923 09:30:05 America/New_York,227.2500,227.6900,226.7000,226.8200,1068.0000000000000000,227.0050000000000000,514,227.9000
20250923 09:30:10 America/New_York,226.7700,226.8300,226.4000,226.4300,727.0000000000000000,226.5560000000000000,435,227.9000
20250923 09:30:15 America/New_York,226.4500,226.5500,226.3600,226.4100,284.0000000000000000,226.4540000000000000,212,227.9000
20250923 09:30:20 America/New_York,226.4200,226.5100,226.3500,226.4800,393.0000000000000000,226.4340000000000000,219,227.9000
20250923 09:30:25 America/New_York,226.4700,226.5800,226.3400,226.3600,212.0000000000000000,226.4580000000000000,157,227.9000
20250923 09:30:30 America/New_York,226.3500,226.4900,226.2300,226.4200,636.0000000000000000,226.3440000000000000,440,227.9000
20250923 09:30:35 America/New_York,226.4400,226.7700,226.4000,226.4400,346.0000000000000000,226.5260000000000000,211,227.9000
20250923 09:30:40 America/New_York,226.4400,226.5500,226.3800,226.4400,278.0000000000000000,226.4830000000000000,126,227.9000
20250923 09:30:45 America/New_York,226.4400,226.5900,226.4100,226.5300,225.0000000000000000,226.4750000000000000,123,227.9000
20250923 09:30:50 America/New_York,226.5200,226.5500,226.2300,226.2500,256.0000000000000000,226.3620000000000000,159,227.9000
20250923 09:30:55 America/New_York,226.2600,226.2700,225.9500,226.0800,1388.0000000000000000,226.0490000000000000,754,227.9000
20250923 09:31:00 America/New_York,226.0800,226.2400,225.9300,226.0300,399.0000000000000000,226.1100000000000000,239,227.9000
20250923 09:31:05 America/New_York,226.0300,226.0600,225.7000,225.7900,551.0000000000000000,225.8550000000000000,385,227.9000
20250923 09:31:10 America/New_York,225.7900,225.9600,225.7500,225.8700,381.0000000000000000,225.8710000000000000,235,227.9000
20250923 09:31:15 America/New_York,225.8600,225.9200,225.7700,225.8400,259.0000000000000000,225.8490000000000000,152,227.9000
20250923 09:31:20 America/New_York,225.7800,225.7800,225.5000,225.5700,543.0000000000000000,225.6030000000000000,263,227.9000
20250923 09:31:25 America/New_York,225.5600,225.5800,225.4400,225.5100,426.0000000000000000,225.5120000000000000,254,227.9000
20250923 09:31:30 America/New_York,225.4800,225.6600,225.4600,225.5500,343.0000000000000000,225.5730000000000000,227,227.9000
20250923 09:31:35 America/New_York,225.5500,225.6800,225.5100,225.6300,241.0000000000000000,225.5980000000000000,151,227.9000
20250923 09:31:40 America/New_York,225.6200,225.6600,225.5000,225.6100,303.0000000000000000,225.6050000000000000,152,227.9000
20250923 09:31:45 America/New_York,225.5600,225.6300,225.4600,225.6000,313.0000000000000000,225.5620000000000000,169,227.9000
20250923 09:31:50 America/New_York,225.5600,225.5800,225.3400,225.3800,576.0000000000000000,225.4460000000000000,384,227.9000
20250923 09:31:55 America/New_York,225.3600,225.4100,225.0500,225.1800,551.0000000000000000,225.1970000000000000,328,227.9000
