Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,DataQualityFlags
20260102 09:55:30 America/New_York,453.57,453.75,453.35,453.38,1597.0,453.5608641202254,506,457.8,none
20260102 09:56:00 America/New_York,453.01,453.54,452.9,453.11,1934.0,453.19890124095144,652,457.8,none
20260102 09:56:30 America/New_York,453.47,453.62,453.02,453.6,1914.0,453.40486886102406,647,457.8,none
20260102 09:57:00 America/New_York,453.31,453.86,453.23,453.23,1792.0,453.5276333705357,552,457.8,none
20260102 09:57:30 America/New_York,453.2,453.33,452.96,453.28,1363.0,453.1288334556126,439,457.8,none
20260102 09:58:00 America/New_York,452.8,453.28,452.5,452.62,2304.0,452.8821245659722,701,457.8,none
20260102 09:58:30 America/New_York,452.63,452.7,452.33,452.57,2222.0,452.50488118811876,711,457.8,none
20260102 09:59:00 America/New_York,453.08,453.3,452.47,453.12,2062.0,452.9715518913676,660,457.8,none
20260102 09:59:30 America/New_York,452.44,453.1,452.38,452.53,1907.0,452.6156937598322,638,457.8,none
20260102 10:00:00 America/New_York,453.09,453.21,452.51,453.02,1660.0,452.907948192771,581,457.8,none
20260102 10:00:30 America/New_York,453.41,453.59,453.06,453.4,2804.0,453.3071426533523,768,457.8,none
20260102 10:01:00 America/New_York,453.91,454.2,453.34,454.13,3292.0,453.80603857837184,932,457.8,none
20260102 10:01:30 America/New_York,453.76,454.36,453.57,453.71,2952.0,454.0732103658537,885,457.8,none
20260102 10:02:00 America/New_York,453.95,454.09,453.31,453.97,2842.0,453.8150475017593,927,457.8,none
20260102 10:02:30 America/New_York,453.92,454.1,453.76,454.0,1615.0,453.93382043343655,483,457.8,none
20260102 10:03:00 America/New_York,453.74,454.29,453.66,453.73,2108.0,453.99617030360525,717,457.8,none
20260102 10:03:30 America/New_York,453.34,453.76,453.15,453.46,1838.0,453.3978286180631,613,457.8,none
20260102 10:04:00 America/New_York,453.35,453.62,453.08,453.22,1592.0,453.37221231155775,561,457.8,none
20260102 10:04:30 America/New_York,453.38,453.57,452.94,453.48,1752.0,453.160225456621,495,457.8,none
20260102 10:05:00 America/New_York,453.55,453.62,452.94,453.38,1738.0,453.2920943613348,573,457.8,none
